ID,salary_min,salary_max,letter
59285,,,F
94077,,,F
4220,2443,2657,F
9910,1741,2248,F
9912,2586,2974,F
10066,2477,,F
3967,,,F
7145,3032,3490,F
14549,,,F
7411,2000,,F
7154,,,F
7379,4447,4817,F
14712,,,F
563,2347,2464,F
7429,2339,2392,G
594,,,G
620,,,G
588,,,G
614,,,G
615,,,G
604,,,G
605,,,G
581,,,G
619,2608,3187,G
580,3223,3850,G
613,2608,3187,G
612,2608,3187,G
603,2608,3187,G
602,2608,3187,G
10090,2254,2477,G
1994,3249,4322,G
130065,,,G
130067,,,G
130066,,,G
93743,,,G
94338,,,G
14869,,,G
14870,,,G
3735,2254,2477,G
3375,2129,2297,G
94289,,,G
94052,,,G
640,2859,4476,G
58719,3928,6444,G
9957,3130,3432,G
9999,2254,2477,G
9955,,,G
93738,,,G
93773,,,G
59289,,,G
10152,3527,,G
10236,,,G
10237,2762,3156,G
93586,,,G
94106,,,G
8638,,,G
8195,2654,3050,G
3703,2453,,G
2673,,,G
2675,3523,4146,G
7094,,,G
4236,2443,2657,G
9898,2825,3128,G
9895,3706,4360,G
15797,3485,4272,G
93717,,,G
93786,,,G
29397,,,G
9969,,,G
9971,,,G
6875,4407,5314,G
132492,,,G
9842,4560,6179,G
58701,4825,6444,G
93671,,,G
93725,,,G
58702,3782,5798,G
58703,3782,5798,G
77494,2827,3332,G
58704,3782,4897,G
94385,,,G
94344,,,G
93869,,,G
93790,,,G
58705,3782,5798,G
93793,,,G
93980,,,G
93925,,,G
93789,,,G
59291,3782,5798,G
27773,,,G
8139,,,G
90288,,,G
129385,,,G
13983,,,G
58706,,,G
94193,,,G
94022,,,G
58707,5236,6092,G
93765,,,G
93771,,,G
59064,,,G
4066,,,G
4067,,,G
93932,,,G
94168,,,G
7469,4604,5581,G
416,3928,6444,G
6868,4407,5314,G
94001,,,G
93602,,,G
13970,3221,,G
682,2380,2532,G
14093,5072,,G
27714,,,G
13981,3796,,G
8566,3523,4146,G
14849,3117,3861,G
30242,3523,3848,G
13973,3523,4146,G
14850,4403,,G
15504,3499,,G
27542,2385,2789,G
51010,3112,3675,G
6515,2639,3301,G
27357,2881,3387,G
30191,2748,3320,G
59551,3928,6444,G
94418,,,G
93898,,,G
9042,2825,3128,G
9037,3928,6444,G
100540,,,G
93934,,,G
93626,,,G
93956,,,G
94320,,,G
59293,3928,6444,G
93639,,,G
93877,,,G
94236,,,G
94090,,,G
59295,3928,6444,G
3817,3849,4383,G
8200,3928,6444,G
8553,2000,,G
126847,3060,3362,G
4653,2376,2510,G
4656,3796,,G
1077,,,G
1079,3310,4258,G
1092,,,G
1091,,,G
1095,,,G
4365,,,G
4364,,,G
4356,3796,,G
1048,,,G
10230,,,G
27446,,,G
28998,2106,2485,G
29000,2106,2485,G
1117,2562,3541,G
29517,,,G
4144,,,G
114450,,,G
2593,5072,,G
2589,3695,,G
2590,3695,,G
2591,3695,,G
2587,2385,2789,G
15660,,,G
849,,,G
100542,4560,6179,G
59297,,,G
129455,,,G
1959,3249,4322,G
8138,,,G
3729,2254,2477,G
3739,2254,2477,G
133598,4604,5581,G
29355,3544,4254,G
8404,2795,3638,G
10026,3130,3432,G
14012,3362,3960,G
1174,2846,3111,G
1720,2395,,G
15583,2880,3909,G
9524,2944,3256,G
4071,,,H
7455,,,H
14037,,,H
4803,,,H
7316,2825,3128,H
7288,2825,3128,H
94156,,,H
93666,,,H
6532,2962,3674,H
6725,2681,2987,H
94388,,,H
2694,,,H
2695,3523,4146,H
9077,2825,4476,H
58960,2825,4476,H
10139,2477,2718,H
103408,1672,1924,H
8122,3140,,H
15244,3140,,H
133617,2825,3128,H
10110,3214,3934,H
10186,2706,3068,H
8839,3053,3751,H
8838,3053,3751,H
94218,,,H
100651,,,H
13778,2682,3283,H
9127,2943,4368,H
123550,3483,3812,H
8780,2859,4476,H
9129,3154,4106,H
9121,3154,4106,H
93779,,,H
94141,,,H
8722,,,H
9105,2943,4368,H
14641,2334,2801,H
50936,,,H
768,1742,,H
90135,,,H
8056,2399,2647,H
1153,2701,2886,H
1497,,,H
58535,2399,2647,H
58524,2392,2736,H
90134,,,H
58523,2120,,H
394,1674,2112,H
739,,,H
9908,1690,,H
625,,,H
10086,1672,1814,H
1068,,,H
90128,2047,2178,H
3969,,,H
14923,,,H
10175,1924,2254,H
1019,,,H
58534,,,H
3751,1672,1924,H
1226,,,H
58538,2270,2392,H
50939,2270,2392,H
501,1674,2112,H
58529,2484,2682,H
90136,1984,2401,H
58527,2399,,H
