letter,ID
P,93843
P,93801
P,59529
P,8042
P,94255
P,93641
P,93684
P,94387
P,5826
P,58768
P,93933
P,94401
P,6351
P,8750
P,8747
P,15675
P,93950
P,93761
P,14958
P,3647
P,14595
P,4808
P,8140
P,58548
P,134693
P,14427
P,3730
P,13819
P,13823
P,94365
P,94153
P,14963
P,58769
P,8157
P,8164
P,8158
P,8159
P,8166
P,8161
P,4442
P,4432
P,59247
P,94011
P,93617
P,10095
P,15004
P,7370
P,7005
P,2713
P,131057
P,131058
P,9736
P,126829
P,14575
P,129410
P,34944
P,8287
P,14241
P,133712
P,93605
P,93873
P,100544
P,14494
P,94345
P,94342
P,8477
P,59019
P,6672
P,8514
P,34950
P,59018
P,35334
P,33210
P,94247
P,93603
P,67789
P,7513
P,7526
P,51106
P,34937
P,13926
P,28948
P,9184
P,134903
P,7737
P,59017
P,5542
P,15893
P,27393
P,94235
P,93937
P,27358
P,9182
P,77048
P,67111
P,73720
P,133769
P,58972
P,134312
P,130893
P,59100
P,58770
P,93692
P,93854
P,15483
P,8730
P,94293
P,130147
P,118890
P,133612
P,120093
P,94075
P,94332
P,59025
P,15590
P,59558
P,10056
P,14512
Q,27491
Q,5231
Q,4687
Q,93610
Q,100531
Q,6066
R,74188
R,15354
R,27779
R,4405
R,4406
R,4425
R,94128
R,93635
R,7683
R,59085
R,8241
R,7959
R,7958
R,8259
R,8235
R,6885
R,93746
R,94654
R,93865
R,15005
R,14103
R,14647
R,14715
R,14847
R,13845
R,14016
R,13955
R,27315
R,94399
R,93820
R,73948
R,94032
R,94205
R,94186
R,93687
R,93714
R,93704
R,93577
R,93922
R,94094
R,94018
R,93998
R,93875
R,59561
R,59563
